"","fc.dates","fc.name","fc.var","fc.value"
"min.1",2019-02-18,"mean_prev_seven","MIN",-6.87142857142857
"min.2",2019-02-19,"mean_prev_seven","MIN",-6.87142857142857
"min.3",2019-02-20,"mean_prev_seven","MIN",-6.87142857142857
"min.4",2019-02-21,"mean_prev_seven","MIN",-6.87142857142857
"min.5",2019-02-22,"mean_prev_seven","MIN",-6.87142857142857
"min.6",2019-02-23,"mean_prev_seven","MIN",-6.87142857142857
"min.7",2019-02-24,"mean_prev_seven","MIN",-6.87142857142857
"max.1",2019-02-18,"mean_prev_seven","MAX",4.12857142857143
"max.2",2019-02-19,"mean_prev_seven","MAX",4.12857142857143
"max.3",2019-02-20,"mean_prev_seven","MAX",4.12857142857143
"max.4",2019-02-21,"mean_prev_seven","MAX",4.12857142857143
"max.5",2019-02-22,"mean_prev_seven","MAX",4.12857142857143
"max.6",2019-02-23,"mean_prev_seven","MAX",4.12857142857143
"max.7",2019-02-24,"mean_prev_seven","MAX",4.12857142857143
"prcp.1",2019-02-18,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.2",2019-02-19,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.3",2019-02-20,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.4",2019-02-21,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.5",2019-02-22,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.6",2019-02-23,"mean_prev_seven","P_PRCP",0.571428571428571
"prcp.7",2019-02-24,"mean_prev_seven","P_PRCP",0.571428571428571
